latitude,longitude,brightness,frp,bright_t31,acq_date,acq_time,satellite,confidence,daynight,NOM_DEP,NOM_PROV,NOM_MUN,HECTARES
-17.69393,-58.24674,332.16,3.04,295.6,2024-09-02,500,N20,n,N,Santa Cruz,Angel Sandoval,San Matías,2708229.504
-13.59211,-63.13916,339.75,4.17,298.81,2024-09-04,538,N,n,N,Beni,Itenez,Baures,1761607.494
-16.59386,-60.38649,333.4,4.95,287.53,2024-09-01,454,N,n,N,Santa Cruz,Velasco,San Rafael,973100.718
-15.4174,-65.32504,306.46,1.31,292.21,2024-08-20,520,N,n,N,Beni,Moxos,San Ignacio,2001132.642
-15.47435,-63.59801,328.36,6.35,294.39,2024-08-28,1842,N,n,D,Santa Cruz,Guarayos,Ascención de Guarayos,867384.615
-18.60452,-57.85724,347.35,4.28,286.49,2024-10-09,441,N,n,N,Santa Cruz,German Busch,Puerto Suarez,1298155.148
-17.43698,-59.21656,328.49,2.7,299.31,2024-08-06,506,N20,n,N,Santa Cruz,Angel Sandoval,San Matías,2708229.504
-17.64209,-59.70669,305.69,2.69,294.1,2024-09-09,545,N,n,N,Santa Cruz,Chiquitos,San Jose de Chiquitos,1912059.482
-19.53987,-63.84229,307.61,0.81,289.09,2024-01-11,533,N20,n,N,Chuquisaca,Luis Calvo,Villa Vaca Guzmán (Muyupampa),379292.319
-16.24577,-61.62154,324.08,4.04,296.53,2024-09-08,603,N,n,N,Santa Cruz,Velasco,San Ignacio de Velasco,4910231.16
-15.65903,-62.15906,367.0,18.12,301.55,2024-09-06,501,N,h,N,Santa Cruz,Ñuflo De Chavez,Concepción,3510852.308
-14.47001,-63.36724,339.53,4.98,300.68,2024-10-08,1756,N20,n,D,Santa Cruz,Guarayos,Urubicha,1046999.667
-16.0247,-64.54995,315.51,2.86,289.67,2024-09-30,434,N20,n,N,Santa Cruz,Ichilo,Yapacaní,951411.755
-15.35169,-65.14959,341.04,8.83,293.8,2024-10-05,1712,N20,n,D,Beni,Moxos,San Ignacio,2001132.642
-16.45059,-62.25046,355.17,19.74,311.52,2024-09-07,1714,N,n,D,Santa Cruz,Ñuflo De Chavez,Concepción,3510852.308
-15.51607,-63.49036,307.98,1.13,288.75,2024-08-27,512,N20,n,N,Santa Cruz,Guarayos,Ascención de Guarayos,867384.615
-17.47217,-59.07128,317.73,1.71,297.02,2024-09-11,507,N,n,N,Santa Cruz,Angel Sandoval,San Matías,2708229.504
-15.86813,-61.18105,332.93,2.6,305.97,2024-09-07,1738,N20,l,D,Santa Cruz,Velasco,San Ignacio de Velasco,4910231.16
-16.4092,-62.21854,343.11,5.84,305.26,2024-08-28,1725,N20,n,D,Santa Cruz,Ñuflo De Chavez,Concepción,3510852.308
-12.50293,-65.45829,319.0,3.59,289.87,2024-08-25,549,N20,n,N,Beni,Yacuma,Exaltacion,2497316.752
-13.59439,-65.19438,336.62,7.73,292.66,2024-06-21,1842,N20,n,D,Beni,Mamore,San Joaquín,869243.103
-15.71957,-61.0593,329.31,4.03,294.37,2024-08-02,557,N,n,N,Santa Cruz,Velasco,San Ignacio de Velasco,4910231.16
-16.74163,-60.30451,305.15,4.03,292.4,2024-09-04,422,N20,n,N,Santa Cruz,Velasco,San Rafael,973100.718
-17.23431,-60.81736,324.69,35.36,310.4,2024-07-21,506,N20,n,N,Santa Cruz,Chiquitos,San Jose de Chiquitos,1912059.482
-16.40404,-62.14261,307.34,2.43,291.83,2024-09-07,506,N20,n,N,Santa Cruz,Ñuflo De Chavez,Concepción,3510852.308
-17.42101,-59.73192,350.92,113.14,308.51,2024-09-07,1737,N20,n,D,Santa Cruz,Chiquitos,San Jose de Chiquitos,1912059.482
-14.51067,-64.22932,351.53,22.72,310.05,2024-09-04,1811,N,n,D,Beni,Cercado,San Javier,817332.335
-14.81166,-62.20333,322.6,3.05,294.92,2024-09-24,446,N20,n,N,Santa Cruz,Ñuflo De Chavez,Concepción,3510852.308
-15.3644,-62.3572,329.2,42.1,300.7,2024-09-25,140,Terra,100,N,Santa Cruz,Ñuflo De Chavez,Concepción,3510852.308
-15.3937,-62.61976,311.37,1.93,289.21,2024-08-21,525,N20,n,N,Santa Cruz,Ñuflo De Chavez,Concepción,3510852.308
-15.19656,-61.71458,306.13,1.15,291.78,2024-09-14,550,N,n,N,Santa Cruz,Ñuflo De Chavez,Concepción,3510852.308
-17.93432,-59.12061,313.8,1.45,287.99,2024-10-07,519,N,n,N,Santa Cruz,Angel Sandoval,San Matías,2708229.504
-16.6893,-60.41001,355.54,8.9,307.56,2024-08-31,1745,N,n,D,Santa Cruz,Velasco,San Rafael,973100.718
-16.44194,-60.07908,306.69,3.36,295.05,2024-08-03,422,N20,n,N,Santa Cruz,Velasco,San Rafael,973100.718
-15.2916,-63.1487,307.6,23.5,295.7,2024-09-24,238,Terra,8,N,Santa Cruz,Guarayos,Urubicha,1046999.667
-16.79909,-59.31989,314.31,2.42,296.22,2024-08-03,538,N,n,N,Santa Cruz,Angel Sandoval,San Matías,2708229.504
-16.37877,-59.63805,325.03,2.44,297.08,2024-08-06,506,N20,n,N,Santa Cruz,Velasco,San Ignacio de Velasco,4910231.16
-17.36806,-59.25385,322.93,5.86,297.22,2024-08-03,539,N,n,N,Santa Cruz,Angel Sandoval,San Matías,2708229.504
-13.61992,-63.03753,337.68,9.46,296.66,2024-09-20,1654,N20,n,D,Beni,Itenez,Baures,1761607.494
-15.75893,-62.48003,345.44,13.51,305.98,2024-09-22,1756,N20,n,D,Santa Cruz,Ñuflo De Chavez,Concepción,3510852.308
-17.98197,-57.84096,348.87,5.09,301.65,2024-09-12,512,N20,n,N,Santa Cruz,German Busch,Puerto Suarez,1298155.148
-15.97056,-60.37395,332.94,5.48,297.52,2024-06-23,1803,N20,n,D,Santa Cruz,Velasco,San Ignacio de Velasco,4910231.16
-14.32942,-64.66027,310.82,2.8,293.18,2024-09-24,446,N20,n,N,Beni,Cercado,San Javier,817332.335
-14.87877,-63.25389,332.97,2.23,291.6,2024-10-01,531,N,n,N,Santa Cruz,Guarayos,Urubicha,1046999.667
-13.15767,-65.65913,367.0,9.5,299.42,2024-08-12,1702,N,h,D,Beni,Yacuma,Exaltacion,2497316.752
-18.9153,-57.8998,350.42,15.19,311.86,2024-10-08,1731,N,n,D,Santa Cruz,German Busch,Puerto Suarez,1298155.148
-17.02627,-64.93858,339.35,3.48,302.97,2024-08-30,1804,N,n,D,Cochabamba,Carrasco,Puerto Villarroel,224074.541
-12.32316,-66.2317,336.35,11.56,301.52,2024-09-20,1811,N,n,D,Beni,Yacuma,Exaltacion,2497316.752
-15.7277,-60.92674,367.0,74.18,331.35,2024-07-18,1654,N20,l,D,Santa Cruz,Velasco,San Ignacio de Velasco,4910231.16
-13.6524,-63.68352,336.88,15.1,301.85,2024-08-02,1714,N20,n,D,Beni,Itenez,Baures,1761607.494
-17.6446,-59.17961,313.94,1.28,296.42,2024-08-17,500,N20,n,N,Santa Cruz,Angel Sandoval,San Matías,2708229.504
-15.94888,-62.27465,337.15,84.89,299.11,2024-09-05,1752,N,n,D,Santa Cruz,Ñuflo De Chavez,Concepción,3510852.308
-15.05162,-64.15801,302.16,0.77,283.24,2024-08-26,531,N20,n,N,Beni,Marban,San Andrés,935478.015
-15.44097,-61.74833,353.27,15.82,312.56,2024-09-21,1751,N,n,D,Santa Cruz,Ñuflo De Chavez,Concepción,3510852.308
-17.91364,-59.21657,335.77,4.59,297.42,2024-09-24,1654,N,n,D,Santa Cruz,Angel Sandoval,San Matías,2708229.504
-17.32257,-59.00511,339.21,4.67,294.01,2024-08-23,1719,N20,n,D,Santa Cruz,Angel Sandoval,San Matías,2708229.504
-15.3364,-61.1934,333.1,31.8,307.3,2024-09-07,1816,Aqua,82,D,Santa Cruz,Velasco,San Ignacio de Velasco,4910231.16
-17.291,-58.44983,367.0,10.23,299.38,2024-08-03,1810,N,h,D,Santa Cruz,Angel Sandoval,San Matías,2708229.504
-13.2419,-65.93799,367.0,214.64,342.98,2024-10-03,517,N20,h,N,Beni,Yacuma,Exaltacion,2497316.752
-17.26208,-60.99522,333.7,15.19,293.01,2024-07-14,1809,N20,n,D,Santa Cruz,Velasco,San Miguel de Velasco,954415.805
-14.96039,-63.79987,311.05,2.85,292.69,2024-10-16,550,N,n,N,Santa Cruz,Guarayos,Ascención de Guarayos,867384.615
-17.72225,-58.38175,324.21,12.81,296.84,2024-08-29,411,N,n,N,Santa Cruz,Angel Sandoval,San Matías,2708229.504
-17.91751,-59.08155,320.24,5.37,295.18,2024-09-10,526,N,n,N,Santa Cruz,Angel Sandoval,San Matías,2708229.504
-19.59543,-58.14214,312.71,8.13,295.83,2024-08-06,507,N20,n,N,Santa Cruz,German Busch,Puerto Suarez,1298155.148
-16.75009,-58.56503,342.59,11.98,310.25,2024-08-16,1750,N20,n,D,Santa Cruz,Angel Sandoval,San Matías,2708229.504
-14.6936,-61.6178,318.3,15.2,295.2,2024-09-28,203,Terra,78,N,Santa Cruz,Velasco,San Ignacio de Velasco,4910231.16
-14.006,-66.6448,301.2,3.8,276.7,2024-01-23,615,Aqua,29,N,Beni,General Jose Ballivi,Santa Rosa,1210566.888
-18.63336,-58.02137,307.05,1.45,294.59,2024-03-20,449,N,n,N,Santa Cruz,German Busch,Carmen Rivero Torrez,1101079.142
-16.50432,-64.50234,332.8,3.68,301.37,2024-10-06,1809,N,n,D,Santa Cruz,Ichilo,Yapacaní,951411.755
-16.67425,-59.01783,317.4,5.9,292.49,2024-08-02,417,N,n,N,Santa Cruz,Angel Sandoval,San Matías,2708229.504
-18.3483,-57.6095,317.7,13.4,297.6,2024-08-07,136,Terra,45,N,Santa Cruz,German Busch,Puerto Quijarro,145026.251
-14.8128,-66.688,346.5,131.7,298.6,2024-07-17,1911,Aqua,94,D,Beni,General Jose Ballivi,San Borja,1348856.721
-18.50167,-63.43428,338.25,4.73,309.02,2024-11-14,1802,N20,l,D,Santa Cruz,Cordillera,Cabezas,505815.887
-14.17193,-63.39622,313.11,1.18,283.74,2024-10-16,549,N,n,N,Beni,Itenez,Baures,1761607.494
-16.4585,-60.81944,330.71,7.91,289.24,2024-12-19,1705,N20,n,D,Santa Cruz,Velasco,San Ignacio de Velasco,4910231.16
-15.97024,-61.78668,318.1,1.84,284.79,2024-07-14,537,N20,n,N,Santa Cruz,Ñuflo De Chavez,Concepción,3510852.308
-16.02348,-61.31522,342.52,6.89,292.91,2024-05-09,1823,N,n,D,Santa Cruz,Velasco,San Ignacio de Velasco,4910231.16
-16.65482,-60.49085,367.0,175.73,330.81,2024-09-08,1835,N,l,D,Santa Cruz,Velasco,San Rafael,973100.718
-15.8885,-61.2705,319.5,60.7,291.7,2024-06-15,633,Aqua,99,N,Santa Cruz,Velasco,San Ignacio de Velasco,4910231.16
-15.90661,-61.25744,303.36,1.19,292.54,2024-09-03,440,N20,n,N,Santa Cruz,Velasco,San Ignacio de Velasco,4910231.16
-16.51664,-59.65783,340.2,8.55,299.1,2024-08-14,1648,N20,n,D,Santa Cruz,Velasco,San Rafael,973100.718
-12.73667,-63.136,305.42,1.89,295.04,2024-09-21,542,N20,n,N,Beni,Itenez,Magdalena,1363449.184
-16.4916,-66.77034,367.0,14.28,295.65,2024-08-17,1848,N,h,D,Cochabamba,Ayopaya,Morochata,740233.332
-15.2751,-62.3507,312.4,6.6,297.8,2024-09-22,619,Aqua,9,N,Santa Cruz,Ñuflo De Chavez,Concepción,3510852.308
-14.47432,-62.24813,298.07,0.47,258.26,2024-10-24,524,N20,n,N,Santa Cruz,Ñuflo De Chavez,Concepción,3510852.308
-15.87083,-62.03581,338.18,2.83,294.95,2024-08-30,532,N,n,N,Santa Cruz,Ñuflo De Chavez,Concepción,3510852.308
-16.97879,-60.57979,321.64,1.66,293.24,2024-08-04,520,N,n,N,Santa Cruz,Velasco,San Rafael,973100.718
-17.78444,-59.01597,307.92,1.43,293.5,2024-09-01,519,N20,n,N,Santa Cruz,Angel Sandoval,San Matías,2708229.504
-13.82961,-63.13588,313.36,2.84,291.99,2024-08-18,440,N20,n,N,Beni,Itenez,Baures,1761607.494
-15.71029,-62.11201,326.18,8.12,292.96,2024-09-02,436,N,n,N,Santa Cruz,Ñuflo De Chavez,Concepción,3510852.308
-15.44653,-63.12913,342.62,4.77,302.24,2024-09-04,1811,N,n,D,Santa Cruz,Guarayos,Urubicha,1046999.667
-13.61569,-63.01931,367.0,46.42,327.24,2024-09-03,1713,N20,h,D,Beni,Itenez,Baures,1761607.494
-15.07788,-62.88184,330.58,3.73,302.38,2024-09-11,1803,N20,l,D,Santa Cruz,Guarayos,Urubicha,1046999.667
-14.63036,-62.35339,320.56,8.67,295.62,2024-10-02,512,N,n,N,Santa Cruz,Ñuflo De Chavez,Concepción,3510852.308
-12.73023,-65.5426,301.26,0.5,286.23,2024-02-06,454,N,n,N,Beni,Yacuma,Exaltacion,2497316.752
-15.65693,-62.46177,357.06,32.27,309.34,2024-09-21,1751,N,l,D,Santa Cruz,Ñuflo De Chavez,Concepción,3510852.308
-15.97123,-63.13823,325.97,3.09,279.32,2024-04-07,551,N,n,N,Santa Cruz,Guarayos,Ascención de Guarayos,867384.615
-17.56039,-59.24978,305.81,1.0,289.47,2024-08-14,532,N,n,N,Santa Cruz,Angel Sandoval,San Matías,2708229.504
-11.79288,-65.93839,332.92,3.12,297.52,2024-10-14,1745,N20,l,D,Beni,Vaca Diez,Riberalta,972562.88
-16.77057,-60.09752,308.6,2.14,284.13,2024-09-23,505,N20,n,N,Santa Cruz,Velasco,San Rafael,973100.718
-15.2868,-62.36321,322.55,2.79,294.68,2024-09-23,441,N,n,N,Santa Cruz,Ñuflo De Chavez,Concepción,3510852.308
-15.4704,-61.4854,308.73,0.95,290.94,2024-06-13,519,N20,n,N,Santa Cruz,Ñuflo De Chavez,Concepción,3510852.308
-15.71571,-64.37577,331.04,4.82,298.04,2024-09-04,602,N20,n,N,Beni,Marban,San Andrés,935478.015
-16.4727,-59.64743,352.15,11.3,306.53,2024-08-14,1648,N20,n,D,Santa Cruz,Velasco,San Rafael,973100.718
-16.20796,-63.02764,339.23,5.52,299.92,2024-08-05,1757,N20,n,D,Santa Cruz,Guarayos,El Puente,674484.183
-15.4618,-65.2014,363.7,149.6,308.2,2024-09-22,1831,Aqua,100,D,Beni,Marban,Loreto,536417.598
-16.43452,-64.09471,341.53,9.98,296.47,2024-09-05,1815,N20,n,D,Santa Cruz,Ichilo,San Juan,157797.678
-17.61128,-59.13035,333.07,3.84,304.72,2024-08-22,1713,N,l,D,Santa Cruz,Angel Sandoval,San Matías,2708229.504
-14.65994,-67.51536,330.64,4.8,287.77,2024-11-01,1823,N,n,D,La Paz,Franz Tamayo,Apolo,1396952.172
-13.6937,-63.189,332.15,6.83,290.37,2024-08-24,1841,N20,n,D,Beni,Itenez,Baures,1761607.494
-17.45183,-59.02443,354.23,52.25,303.88,2024-09-10,1821,N20,n,D,Santa Cruz,Angel Sandoval,San Matías,2708229.504
-17.4939,-58.1744,340.1,31.2,311.6,2024-08-16,1810,Aqua,87,D,Santa Cruz,Angel Sandoval,San Matías,2708229.504
-15.29129,-64.19553,332.64,2.14,300.42,2024-08-31,1746,N,n,D,Beni,Marban,San Andrés,935478.015
